"","x","y","z"
"68",3,"c",2016-10-01
"69",4,"d",2016-11-01
"70",5,"e",2016-12-01
"71",1,"a",2016-08-01
"72",1,"b",2016-09-01
"73",3,"c",2016-10-01
"74",4,"d",2016-11-01
"75",5,"e",2016-12-01
"76",1,"a",2016-08-01
"77",1,"b",2016-09-01
"78",3,"c",2016-10-01
"79",4,"d",2016-11-01
"80",5,"e",2016-12-01
"81",1,"a",2016-08-01
"82",1,"b",2016-09-01
"83",3,"c",2016-10-01
"84",4,"d",2016-11-01
"85",5,"e",2016-12-01
"86",1,"a",2016-08-01
"87",1,"b",2016-09-01
"88",3,"c",2016-10-01
"89",4,"d",2016-11-01
"90",5,"e",2016-12-01
"91",1,"a",2016-08-01
"92",1,"b",2016-09-01
"93",3,"c",2016-10-01
"94",4,"d",2016-11-01
"95",5,"e",2016-12-01
"96",1,"a",2016-08-01
"97",1,"b",2016-09-01
"98",3,"c",2016-10-01
"99",4,"d",2016-11-01
"100",5,"e",2016-12-01
"101",1,"a",2016-08-01
"102",1,"b",2016-09-01
"103",3,"c",2016-10-01
"104",4,"d",2016-11-01
"105",5,"e",2016-12-01
"106",1,"a",2016-08-01
"107",1,"b",2016-09-01
"108",3,"c",2016-10-01
"109",4,"d",2016-11-01
"110",5,"e",2016-12-01
"111",1,"a",2016-08-01
"112",1,"b",2016-09-01
"113",3,"c",2016-10-01
"114",4,"d",2016-11-01
"115",5,"e",2016-12-01
"116",1,"a",2016-08-01
"117",1,"b",2016-09-01
"118",3,"c",2016-10-01
"119",4,"d",2016-11-01
"120",5,"e",2016-12-01
"121",1,"a",2016-08-01
"122",1,"b",2016-09-01
"123",3,"c",2016-10-01
"124",4,"d",2016-11-01
"125",5,"e",2016-12-01
"126",1,"a",2016-08-01
"127",1,"b",2016-09-01
"128",3,"c",2016-10-01
"129",4,"d",2016-11-01
"130",5,"e",2016-12-01
"131",1,"a",2016-08-01
"132",1,"b",2016-09-01
"133",3,"c",2016-10-01
"134",4,"d",2016-11-01
"135",5,"e",2016-12-01
"136",1,"a",2016-08-01
"137",1,"b",2016-09-01
"138",3,"c",2016-10-01
"139",4,"d",2016-11-01
"140",5,"e",2016-12-01
"141",1,"a",2016-08-01
"142",1,"b",2016-09-01
"143",3,"c",2016-10-01
"144",4,"d",2016-11-01
"145",5,"e",2016-12-01
"146",1,"a",2016-08-01
"147",1,"b",2016-09-01
"148",3,"c",2016-10-01
"149",4,"d",2016-11-01
"150",5,"e",2016-12-01
"151",1,"a",2016-08-01
"152",1,"b",2016-09-01
"153",3,"c",2016-10-01
"154",4,"d",2016-11-01
"155",5,"e",2016-12-01
"156",1,"a",2016-08-01
"157",1,"b",2016-09-01
"158",3,"c",2016-10-01
"159",4,"d",2016-11-01
"160",5,"e",2016-12-01
"161",1,"a",2016-08-01
"162",1,"b",2016-09-01
"163",3,"c",2016-10-01
"164",4,"d",2016-11-01
"165",5,"e",2016-12-01
"166",1,"a",2016-08-01
"167",1,"b",2016-09-01
"168",3,"c",2016-10-01
"169",4,"d",2016-11-01
"170",5,"e",2016-12-01
"171",1,"a",2016-08-01
"172",1,"b",2016-09-01
"173",3,"c",2016-10-01
"174",4,"d",2016-11-01
"175",5,"e",2016-12-01
"176",1,"a",2016-08-01
"177",1,"b",2016-09-01
"178",3,"c",2016-10-01
"179",4,"d",2016-11-01
"180",5,"e",2016-12-01
"181",1,"a",2016-08-01
"182",1,"b",2016-09-01
"183",3,"c",2016-10-01
"184",4,"d",2016-11-01
"185",5,"e",2016-12-01
"186",1,"a",2016-08-01
"187",1,"b",2016-09-01
"188",3,"c",2016-10-01
"189",4,"d",2016-11-01
"190",5,"e",2016-12-01
"191",1,"a",2016-08-01
"192",1,"b",2016-09-01
"193",3,"c",2016-10-01
"194",4,"d",2016-11-01
"195",5,"e",2016-12-01
"196",1,"a",2016-08-01
"197",1,"b",2016-09-01
"198",3,"c",2016-10-01
"199",4,"d",2016-11-01
"200",5,"e",2016-12-01
"201",1,"a",2016-08-01
"202",1,"b",2016-09-01
"203",3,"c",2016-10-01
"204",4,"d",2016-11-01
"205",5,"e",2016-12-01
"206",1,"a",2016-08-01
"207",1,"b",2016-09-01
"208",3,"c",2016-10-01
"209",4,"d",2016-11-01
"210",5,"e",2016-12-01
"211",1,"a",2016-08-01
"212",1,"b",2016-09-01
"213",3,"c",2016-10-01
"214",4,"d",2016-11-01
"215",5,"e",2016-12-01
"216",1,"a",2016-08-01
"217",1,"b",2016-09-01
"218",3,"c",2016-10-01
"219",4,"d",2016-11-01
"220",5,"e",2016-12-01
"221",1,"a",2016-08-01
"222",1,"b",2016-09-01
"223",3,"c",2016-10-01
"224",4,"d",2016-11-01
"225",5,"e",2016-12-01
"226",1,"a",2016-08-01
"227",1,"b",2016-09-01
"228",3,"c",2016-10-01
"229",4,"d",2016-11-01
"230",5,"e",2016-12-01
"231",1,"a",2016-08-01
"232",1,"b",2016-09-01
"233",3,"c",2016-10-01
"234",4,"d",2016-11-01
"235",5,"e",2016-12-01
"236",1,"a",2016-08-01
"237",1,"b",2016-09-01
"238",3,"c",2016-10-01
"239",4,"d",2016-11-01
"240",5,"e",2016-12-01
"241",1,"a",2016-08-01
"242",1,"b",2016-09-01
"243",3,"c",2016-10-01
"244",4,"d",2016-11-01
"245",5,"e",2016-12-01
"246",1,"a",2016-08-01
"247",1,"b",2016-09-01
"248",3,"c",2016-10-01
"249",4,"d",2016-11-01
"250",5,"e",2016-12-01
"251",1,"a",2016-08-01
"252",1,"b",2016-09-01
"253",3,"c",2016-10-01
"254",4,"d",2016-11-01
"255",5,"e",2016-12-01
"256",1,"a",2016-08-01
"257",1,"b",2016-09-01
"258",3,"c",2016-10-01
"259",4,"d",2016-11-01
"260",5,"e",2016-12-01
"261",1,"a",2016-08-01
"262",1,"b",2016-09-01
"263",3,"c",2016-10-01
"264",4,"d",2016-11-01
"265",5,"e",2016-12-01
"266",1,"a",2016-08-01
"267",1,"b",2016-09-01
"268",3,"c",2016-10-01
"269",4,"d",2016-11-01
"270",5,"e",2016-12-01
"271",1,"a",2016-08-01
"272",1,"b",2016-09-01
"273",3,"c",2016-10-01
"274",4,"d",2016-11-01
"275",5,"e",2016-12-01
"276",1,"a",2016-08-01
"277",1,"b",2016-09-01
"278",3,"c",2016-10-01
"279",4,"d",2016-11-01
"280",5,"e",2016-12-01
"281",1,"a",2016-08-01
"282",1,"b",2016-09-01
"283",3,"c",2016-10-01
"284",4,"d",2016-11-01
"285",5,"e",2016-12-01
"286",1,"a",2016-08-01
"287",1,"b",2016-09-01
"288",3,"c",2016-10-01
"289",4,"d",2016-11-01
"290",5,"e",2016-12-01
"291",1,"a",2016-08-01
"292",1,"b",2016-09-01
"293",3,"c",2016-10-01
"294",4,"d",2016-11-01
"295",5,"e",2016-12-01
"296",1,"a",2016-08-01
"297",1,"b",2016-09-01
"298",3,"c",2016-10-01
"299",4,"d",2016-11-01
"300",5,"e",2016-12-01
"301",1,"a",2016-08-01
"302",1,"b",2016-09-01
"303",3,"c",2016-10-01
"304",4,"d",2016-11-01
"305",5,"e",2016-12-01
"306",1,"a",2016-08-01
"307",1,"b",2016-09-01
"308",3,"c",2016-10-01
"309",4,"d",2016-11-01
"310",5,"e",2016-12-01
"311",1,"a",2016-08-01
"312",1,"b",2016-09-01
"313",3,"c",2016-10-01
"314",4,"d",2016-11-01
"315",5,"e",2016-12-01
"316",1,"a",2016-08-01
"317",1,"b",2016-09-01
"318",3,"c",2016-10-01
"319",4,"d",2016-11-01
"320",5,"e",2016-12-01
"321",1,"a",2016-08-01
"322",1,"b",2016-09-01
"323",3,"c",2016-10-01
"324",4,"d",2016-11-01
"325",5,"e",2016-12-01
"326",1,"a",2016-08-01
"327",1,"b",2016-09-01
"328",3,"c",2016-10-01
"329",4,"d",2016-11-01
"330",5,"e",2016-12-01
"331",1,"a",2016-08-01
"332",1,"b",2016-09-01
"333",3,"c",2016-10-01
"334",4,"d",2016-11-01
"335",5,"e",2016-12-01
"336",1,"a",2016-08-01
"337",1,"b",2016-09-01
"338",3,"c",2016-10-01
"339",4,"d",2016-11-01
"340",5,"e",2016-12-01
"341",1,"a",2016-08-01
"342",1,"b",2016-09-01
"343",3,"c",2016-10-01
"344",4,"d",2016-11-01
"345",5,"e",2016-12-01
"346",1,"a",2016-08-01
"347",1,"b",2016-09-01
"348",3,"c",2016-10-01
"349",4,"d",2016-11-01
"350",5,"e",2016-12-01
"351",1,"a",2016-08-01
"352",1,"b",2016-09-01
"353",3,"c",2016-10-01
"354",4,"d",2016-11-01
"355",5,"e",2016-12-01
"356",1,"a",2016-08-01
"357",1,"b",2016-09-01
"358",3,"c",2016-10-01
"359",4,"d",2016-11-01
"360",5,"e",2016-12-01
"361",1,"a",2016-08-01
"362",1,"b",2016-09-01
"363",3,"c",2016-10-01
"364",4,"d",2016-11-01
"365",5,"e",2016-12-01
"366",1,"a",2016-08-01
"367",1,"b",2016-09-01
"368",3,"c",2016-10-01
"369",4,"d",2016-11-01
"370",5,"e",2016-12-01
"371",1,"a",2016-08-01
"372",1,"b",2016-09-01
"373",3,"c",2016-10-01
"374",4,"d",2016-11-01
"375",5,"e",2016-12-01
"376",1,"a",2016-08-01
"377",1,"b",2016-09-01
"378",3,"c",2016-10-01
"379",4,"d",2016-11-01
"380",5,"e",2016-12-01
"381",1,"a",2016-08-01
"382",1,"b",2016-09-01
"383",3,"c",2016-10-01
"384",4,"d",2016-11-01
"385",5,"e",2016-12-01
"386",1,"a",2016-08-01
"387",1,"b",2016-09-01
"388",3,"c",2016-10-01
"389",4,"d",2016-11-01
"390",5,"e",2016-12-01
"391",1,"a",2016-08-01
"392",1,"b",2016-09-01
"393",3,"c",2016-10-01
"394",4,"d",2016-11-01
"395",5,"e",2016-12-01
"396",1,"a",2016-08-01
"397",1,"b",2016-09-01
"398",3,"c",2016-10-01
"399",4,"d",2016-11-01
"400",5,"e",2016-12-01
"401",1,"a",2016-08-01
"402",1,"b",2016-09-01
"403",3,"c",2016-10-01
"404",4,"d",2016-11-01
"405",5,"e",2016-12-01
"406",1,"a",2016-08-01
"407",1,"b",2016-09-01
"408",3,"c",2016-10-01
"409",4,"d",2016-11-01
"410",5,"e",2016-12-01
"411",1,"a",2016-08-01
"412",1,"b",2016-09-01
"413",3,"c",2016-10-01
"414",4,"d",2016-11-01
"415",5,"e",2016-12-01
"416",1,"a",2016-08-01
"417",1,"b",2016-09-01
"418",3,"c",2016-10-01
"419",4,"d",2016-11-01
"420",5,"e",2016-12-01
"421",1,"a",2016-08-01
"422",1,"b",2016-09-01
"423",3,"c",2016-10-01
"424",4,"d",2016-11-01
"425",5,"e",2016-12-01
"426",1,"a",2016-08-01
"427",1,"b",2016-09-01
"428",3,"c",2016-10-01
"429",4,"d",2016-11-01
"430",5,"e",2016-12-01
"431",1,"a",2016-08-01
"432",1,"b",2016-09-01
"433",3,"c",2016-10-01
"434",4,"d",2016-11-01
"435",5,"e",2016-12-01
"436",1,"a",2016-08-01
"437",1,"b",2016-09-01
"438",3,"c",2016-10-01
"439",4,"d",2016-11-01
"440",5,"e",2016-12-01
"441",1,"a",2016-08-01
"442",1,"b",2016-09-01
"443",3,"c",2016-10-01
"444",4,"d",2016-11-01
"445",5,"e",2016-12-01
"446",1,"a",2016-08-01
"447",1,"b",2016-09-01
"448",3,"c",2016-10-01
"449",4,"d",2016-11-01
"450",5,"e",2016-12-01
"451",1,"a",2016-08-01
"452",1,"b",2016-09-01
"453",3,"c",2016-10-01
"454",4,"d",2016-11-01
"455",5,"e",2016-12-01
"456",1,"a",2016-08-01
"457",1,"b",2016-09-01
"458",3,"c",2016-10-01
"459",4,"d",2016-11-01
"460",5,"e",2016-12-01
"461",1,"a",2016-08-01
"462",1,"b",2016-09-01
"463",3,"c",2016-10-01
"464",4,"d",2016-11-01
"465",5,"e",2016-12-01
"466",1,"a",2016-08-01
"467",1,"b",2016-09-01
"468",3,"c",2016-10-01
"469",4,"d",2016-11-01
"470",5,"e",2016-12-01
"471",1,"a",2016-08-01
"472",1,"b",2016-09-01
"473",3,"c",2016-10-01
"474",4,"d",2016-11-01
"475",5,"e",2016-12-01
"476",1,"a",2016-08-01
"477",1,"b",2016-09-01
"478",3,"c",2016-10-01
"479",4,"d",2016-11-01
"480",5,"e",2016-12-01
"481",1,"a",2016-08-01
"482",1,"b",2016-09-01
"483",3,"c",2016-10-01
"484",4,"d",2016-11-01
"485",5,"e",2016-12-01
"486",1,"a",2016-08-01
"487",1,"b",2016-09-01
"488",3,"c",2016-10-01
"489",4,"d",2016-11-01
"490",5,"e",2016-12-01
"491",1,"a",2016-08-01
"492",1,"b",2016-09-01
"493",3,"c",2016-10-01
"494",4,"d",2016-11-01
"495",5,"e",2016-12-01
"496",1,"a",2016-08-01
"497",1,"b",2016-09-01
"498",3,"c",2016-10-01
"499",4,"d",2016-11-01
"500",5,"e",2016-12-01
"501",1,"a",2016-08-01
"502",1,"b",2016-09-01
"503",3,"c",2016-10-01
"504",4,"d",2016-11-01
"505",5,"e",2016-12-01
"506",1,"a",2016-08-01
"507",1,"b",2016-09-01
"508",3,"c",2016-10-01
"509",4,"d",2016-11-01
"510",5,"e",2016-12-01
"511",1,"a",2016-08-01
"512",1,"b",2016-09-01
"513",3,"c",2016-10-01
"514",4,"d",2016-11-01
"515",5,"e",2016-12-01
"516",1,"a",2016-08-01
"517",1,"b",2016-09-01
"518",3,"c",2016-10-01
"519",4,"d",2016-11-01
"520",5,"e",2016-12-01
"521",1,"a",2016-08-01
"522",1,"b",2016-09-01
"523",3,"c",2016-10-01
"524",4,"d",2016-11-01
"525",5,"e",2016-12-01
"526",1,"a",2016-08-01
"527",1,"b",2016-09-01
"528",3,"c",2016-10-01
"529",4,"d",2016-11-01
"530",5,"e",2016-12-01
"531",1,"a",2016-08-01
"532",1,"b",2016-09-01
"533",3,"c",2016-10-01
"534",4,"d",2016-11-01
"535",5,"e",2016-12-01
"536",1,"a",2016-08-01
"537",1,"b",2016-09-01
"538",3,"c",2016-10-01
"539",4,"d",2016-11-01
"540",5,"e",2016-12-01
"541",1,"a",2016-08-01
"542",1,"b",2016-09-01
"543",3,"c",2016-10-01
"544",4,"d",2016-11-01
"545",5,"e",2016-12-01
"546",1,"a",2016-08-01
"547",1,"b",2016-09-01
"548",3,"c",2016-10-01
"549",4,"d",2016-11-01
"550",5,"e",2016-12-01
"551",1,"a",2016-08-01
"552",1,"b",2016-09-01
"553",3,"c",2016-10-01
"554",4,"d",2016-11-01
"555",5,"e",2016-12-01
"556",1,"a",2016-08-01
"557",1,"b",2016-09-01
"558",3,"c",2016-10-01
"559",4,"d",2016-11-01
"560",5,"e",2016-12-01
"561",1,"a",2016-08-01
"562",1,"b",2016-09-01
"563",3,"c",2016-10-01
"564",4,"d",2016-11-01
"565",5,"e",2016-12-01
"566",1,"a",2016-08-01
"567",1,"b",2016-09-01
"568",3,"c",2016-10-01
"569",4,"d",2016-11-01
"570",5,"e",2016-12-01
"571",1,"a",2016-08-01
"572",1,"b",2016-09-01
"573",3,"c",2016-10-01
"574",4,"d",2016-11-01
"575",5,"e",2016-12-01
"576",1,"a",2016-08-01
"577",1,"b",2016-09-01
"578",3,"c",2016-10-01
"579",4,"d",2016-11-01
"580",5,"e",2016-12-01
"581",1,"a",2016-08-01
"582",1,"b",2016-09-01
"583",3,"c",2016-10-01
"584",4,"d",2016-11-01
"585",5,"e",2016-12-01
"586",1,"a",2016-08-01
"587",1,"b",2016-09-01
"588",3,"c",2016-10-01
"589",4,"d",2016-11-01
"590",5,"e",2016-12-01
"591",1,"a",2016-08-01
"592",1,"b",2016-09-01
"593",3,"c",2016-10-01
"594",4,"d",2016-11-01
"595",5,"e",2016-12-01
"596",1,"a",2016-08-01
"597",1,"b",2016-09-01
"598",3,"c",2016-10-01
"599",4,"d",2016-11-01
"600",5,"e",2016-12-01
"601",1,"a",2016-08-01
"602",1,"b",2016-09-01
"603",3,"c",2016-10-01
"604",4,"d",2016-11-01
"605",5,"e",2016-12-01
"606",1,"a",2016-08-01
"607",1,"b",2016-09-01
"608",3,"c",2016-10-01
"609",4,"d",2016-11-01
"610",5,"e",2016-12-01
"611",1,"a",2016-08-01
"612",1,"b",2016-09-01
"613",3,"c",2016-10-01
"614",4,"d",2016-11-01
"615",5,"e",2016-12-01
"616",1,"a",2016-08-01
"617",1,"b",2016-09-01
"618",3,"c",2016-10-01
"619",4,"d",2016-11-01
"620",5,"e",2016-12-01
"621",1,"a",2016-08-01
"622",1,"b",2016-09-01
"623",3,"c",2016-10-01
"624",4,"d",2016-11-01
"625",5,"e",2016-12-01
"626",1,"a",2016-08-01
"627",1,"b",2016-09-01
"628",3,"c",2016-10-01
"629",4,"d",2016-11-01
"630",5,"e",2016-12-01
"631",1,"a",2016-08-01
"632",1,"b",2016-09-01
"633",3,"c",2016-10-01
"634",4,"d",2016-11-01
"635",5,"e",2016-12-01
"636",1,"a",2016-08-01
"637",1,"b",2016-09-01
"638",3,"c",2016-10-01
"639",4,"d",2016-11-01
"640",5,"e",2016-12-01
"641",1,"a",2016-08-01
"642",1,"b",2016-09-01
"643",3,"c",2016-10-01
"644",4,"d",2016-11-01
"645",5,"e",2016-12-01
"646",1,"a",2016-08-01
"647",1,"b",2016-09-01
"648",3,"c",2016-10-01
"649",4,"d",2016-11-01
"650",5,"e",2016-12-01
"651",1,"a",2016-08-01
"652",1,"b",2016-09-01
"653",3,"c",2016-10-01
"654",4,"d",2016-11-01
"655",5,"e",2016-12-01
"656",1,"a",2016-08-01
"657",1,"b",2016-09-01
"658",3,"c",2016-10-01
"659",4,"d",2016-11-01
"660",5,"e",2016-12-01
"661",1,"a",2016-08-01
"662",1,"b",2016-09-01
"663",3,"c",2016-10-01
"664",4,"d",2016-11-01
"665",5,"e",2016-12-01
"666",1,"a",2016-08-01
"667",1,"b",2016-09-01
"668",3,"c",2016-10-01
"669",4,"d",2016-11-01
"670",5,"e",2016-12-01
"671",1,"a",2016-08-01
"672",1,"b",2016-09-01
"673",3,"c",2016-10-01
"674",4,"d",2016-11-01
"675",5,"e",2016-12-01
"676",1,"a",2016-08-01
"677",1,"b",2016-09-01
"678",3,"c",2016-10-01
"679",4,"d",2016-11-01
"680",5,"e",2016-12-01
"681",1,"a",2016-08-01
"682",1,"b",2016-09-01
"683",3,"c",2016-10-01
"684",4,"d",2016-11-01
"685",5,"e",2016-12-01
"686",1,"a",2016-08-01
"687",1,"b",2016-09-01
"688",3,"c",2016-10-01
"689",4,"d",2016-11-01
"690",5,"e",2016-12-01
"691",1,"a",2016-08-01
"692",1,"b",2016-09-01
"693",3,"c",2016-10-01
"694",4,"d",2016-11-01
"695",5,"e",2016-12-01
"696",1,"a",2016-08-01
"697",1,"b",2016-09-01
"698",3,"c",2016-10-01
"699",4,"d",2016-11-01
"700",5,"e",2016-12-01
"701",1,"a",2016-08-01
"702",1,"b",2016-09-01
"703",3,"c",2016-10-01
"704",4,"d",2016-11-01
"705",5,"e",2016-12-01
"706",1,"a",2016-08-01
"707",1,"b",2016-09-01
"708",3,"c",2016-10-01
"709",4,"d",2016-11-01
"710",5,"e",2016-12-01
"711",1,"a",2016-08-01
"712",1,"b",2016-09-01
"713",3,"c",2016-10-01
"714",4,"d",2016-11-01
"715",5,"e",2016-12-01
"716",1,"a",2016-08-01
"717",1,"b",2016-09-01
"718",3,"c",2016-10-01
"719",4,"d",2016-11-01
"720",5,"e",2016-12-01
"721",1,"a",2016-08-01
"722",1,"b",2016-09-01
"723",3,"c",2016-10-01
"724",4,"d",2016-11-01
"725",5,"e",2016-12-01
"726",1,"a",2016-08-01
"727",1,"b",2016-09-01
"728",3,"c",2016-10-01
"729",4,"d",2016-11-01
"730",5,"e",2016-12-01
"731",1,"a",2016-08-01
"732",1,"b",2016-09-01
"733",3,"c",2016-10-01
"734",4,"d",2016-11-01
"735",5,"e",2016-12-01
"736",1,"a",2016-08-01
"737",1,"b",2016-09-01
"738",3,"c",2016-10-01
"739",4,"d",2016-11-01
"740",5,"e",2016-12-01
"741",1,"a",2016-08-01
"742",1,"b",2016-09-01
"743",3,"c",2016-10-01
"744",4,"d",2016-11-01
"745",5,"e",2016-12-01
"746",1,"a",2016-08-01
"747",1,"b",2016-09-01
"748",3,"c",2016-10-01
"749",4,"d",2016-11-01
"750",5,"e",2016-12-01
"751",1,"a",2016-08-01
"752",1,"b",2016-09-01
"753",3,"c",2016-10-01
"754",4,"d",2016-11-01
"755",5,"e",2016-12-01
"756",1,"a",2016-08-01
"757",1,"b",2016-09-01
"758",3,"c",2016-10-01
"759",4,"d",2016-11-01
"760",5,"e",2016-12-01
"761",1,"a",2016-08-01
"762",1,"b",2016-09-01
"763",3,"c",2016-10-01
"764",4,"d",2016-11-01
"765",5,"e",2016-12-01
"766",1,"a",2016-08-01
"767",1,"b",2016-09-01
"768",3,"c",2016-10-01
"769",4,"d",2016-11-01
"770",5,"e",2016-12-01
"771",1,"a",2016-08-01
"772",1,"b",2016-09-01
"773",3,"c",2016-10-01
"774",4,"d",2016-11-01
"775",5,"e",2016-12-01
"776",1,"a",2016-08-01
"777",1,"b",2016-09-01
"778",3,"c",2016-10-01
"779",4,"d",2016-11-01
"780",5,"e",2016-12-01
"781",1,"a",2016-08-01
"782",1,"b",2016-09-01
"783",3,"c",2016-10-01
"784",4,"d",2016-11-01
"785",5,"e",2016-12-01
"786",1,"a",2016-08-01
"787",1,"b",2016-09-01
"788",3,"c",2016-10-01
"789",4,"d",2016-11-01
"790",5,"e",2016-12-01
"791",1,"a",2016-08-01
"792",1,"b",2016-09-01
"793",3,"c",2016-10-01
"794",4,"d",2016-11-01
"795",5,"e",2016-12-01
"796",1,"a",2016-08-01
"797",1,"b",2016-09-01
"798",3,"c",2016-10-01
"799",4,"d",2016-11-01
"800",5,"e",2016-12-01
"801",1,"a",2016-08-01
"802",1,"b",2016-09-01
"803",3,"c",2016-10-01
"804",4,"d",2016-11-01
"805",5,"e",2016-12-01
"806",1,"a",2016-08-01
"807",1,"b",2016-09-01
"808",3,"c",2016-10-01
"809",4,"d",2016-11-01
"810",5,"e",2016-12-01
"811",1,"a",2016-08-01
"812",1,"b",2016-09-01
"813",3,"c",2016-10-01
"814",4,"d",2016-11-01
"815",5,"e",2016-12-01
"816",1,"a",2016-08-01
"817",1,"b",2016-09-01
"818",3,"c",2016-10-01
"819",4,"d",2016-11-01
"820",5,"e",2016-12-01
"821",1,"a",2016-08-01
"822",1,"b",2016-09-01
"823",3,"c",2016-10-01
"824",4,"d",2016-11-01
"825",5,"e",2016-12-01
"826",1,"a",2016-08-01
"827",1,"b",2016-09-01
"828",3,"c",2016-10-01
"829",4,"d",2016-11-01
"830",5,"e",2016-12-01
"831",1,"a",2016-08-01
"832",1,"b",2016-09-01
"833",3,"c",2016-10-01
"834",4,"d",2016-11-01
"835",5,"e",2016-12-01
"836",1,"a",2016-08-01
"837",1,"b",2016-09-01
"838",3,"c",2016-10-01
"839",4,"d",2016-11-01
"840",5,"e",2016-12-01
"841",1,"a",2016-08-01
"842",1,"b",2016-09-01
"843",3,"c",2016-10-01
"844",4,"d",2016-11-01
"845",5,"e",2016-12-01
"846",1,"a",2016-08-01
"847",1,"b",2016-09-01
"848",3,"c",2016-10-01
"849",4,"d",2016-11-01
"850",5,"e",2016-12-01
"851",1,"a",2016-08-01
"852",1,"b",2016-09-01
"853",3,"c",2016-10-01
"854",4,"d",2016-11-01
"855",5,"e",2016-12-01
"856",1,"a",2016-08-01
"857",1,"b",2016-09-01
"858",3,"c",2016-10-01
"859",4,"d",2016-11-01
"860",5,"e",2016-12-01
"861",1,"a",2016-08-01
"862",1,"b",2016-09-01
"863",3,"c",2016-10-01
"864",4,"d",2016-11-01
"865",5,"e",2016-12-01
"866",1,"a",2016-08-01
"867",1,"b",2016-09-01
"868",3,"c",2016-10-01
"869",4,"d",2016-11-01
"870",5,"e",2016-12-01
"871",1,"a",2016-08-01
"872",1,"b",2016-09-01
"873",3,"c",2016-10-01
"874",4,"d",2016-11-01
"875",5,"e",2016-12-01
"876",1,"a",2016-08-01
"877",1,"b",2016-09-01
"878",3,"c",2016-10-01
"879",4,"d",2016-11-01
"880",5,"e",2016-12-01
"881",1,"a",2016-08-01
"882",1,"b",2016-09-01
"883",3,"c",2016-10-01
"884",4,"d",2016-11-01
"885",5,"e",2016-12-01
"886",1,"a",2016-08-01
"887",1,"b",2016-09-01
"888",3,"c",2016-10-01
"889",4,"d",2016-11-01
"890",5,"e",2016-12-01
"891",1,"a",2016-08-01
"892",1,"b",2016-09-01
"893",3,"c",2016-10-01
"894",4,"d",2016-11-01
"895",5,"e",2016-12-01
"896",1,"a",2016-08-01
"897",1,"b",2016-09-01
"898",3,"c",2016-10-01
"899",4,"d",2016-11-01
"900",5,"e",2016-12-01
"901",1,"a",2016-08-01
"902",1,"b",2016-09-01
"903",3,"c",2016-10-01
"904",4,"d",2016-11-01
"905",5,"e",2016-12-01
"906",1,"a",2016-08-01
"907",1,"b",2016-09-01
"908",3,"c",2016-10-01
"909",4,"d",2016-11-01
"910",5,"e",2016-12-01
"911",1,"a",2016-08-01
"912",1,"b",2016-09-01
"913",3,"c",2016-10-01
"914",4,"d",2016-11-01
"915",5,"e",2016-12-01
"916",1,"a",2016-08-01
"917",1,"b",2016-09-01
"918",3,"c",2016-10-01
"919",4,"d",2016-11-01
"920",5,"e",2016-12-01
"921",1,"a",2016-08-01
"922",1,"b",2016-09-01
"923",3,"c",2016-10-01
"924",4,"d",2016-11-01
"925",5,"e",2016-12-01
"926",1,"a",2016-08-01
"927",1,"b",2016-09-01
"928",3,"c",2016-10-01
"929",4,"d",2016-11-01
"930",5,"e",2016-12-01
"931",1,"a",2016-08-01
"932",1,"b",2016-09-01
